neighborhood,dow,gender,genderCount
Loring Park,0,Other,53
Loring Park,1,Female,31
Loring Park,1,Male,138
Loring Park,1,Other,104
Loring Park,2,Female,31
Loring Park,2,Male,142
Loring Park,2,Other,93
Loring Park,3,Female,39
Loring Park,3,Male,124
Loring Park,3,Other,107
Loring Park,4,Female,40
Loring Park,4,Male,131
Loring Park,4,Other,94
Loring Park,5,Female,38
Loring Park,5,Male,159
Loring Park,5,Other,93
Loring Park,6,Female,27
Loring Park,6,Male,112
Loring Park,6,Other,69
Lowry Hill,0,Female,5
Lowry Hill,0,Male,12
Lowry Hill,0,Other,17
Lowry Hill,1,Female,8
Lowry Hill,1,Male,22
Lowry Hill,1,Other,10
Lowry Hill,2,Female,17
Lowry Hill,2,Male,30
Lowry Hill,2,Other,13
Lowry Hill,3,Female,19
Lowry Hill,3,Male,32
Lowry Hill,3,Other,23
Lowry Hill,4,Female,17
Lowry Hill,4,Male,32
Lowry Hill,4,Other,25
Lowry Hill,5,Female,23
Lowry Hill,5,Male,41
Lowry Hill,5,Other,18
Lowry Hill,6,Female,7
Lowry Hill,6,Male,28
Lowry Hill,6,Other,8
Lowry Hill East,0,Female,69
Lowry Hill East,0,Male,202
Lowry Hill East,0,Other,108
Lowry Hill East,1,Female,81
Lowry Hill East,1,Male,189
Lowry Hill East,1,Other,69
Lowry Hill East,2,Female,98
Lowry Hill East,2,Male,251
Lowry Hill East,2,Other,82
Lowry Hill East,3,Female,78
Lowry Hill East,3,Male,209
Lowry Hill East,3,Other,77
Lowry Hill East,4,Female,85
Lowry Hill East,4,Male,242
Lowry Hill East,4,Other,84
Lowry Hill East,5,Female,90
Lowry Hill East,5,Male,236
Lowry Hill East,5,Other,115
Lowry Hill East,6,Female,87
Lowry Hill East,6,Male,315
Lowry Hill East,6,Other,121
Lyndale,0,Female,82
Lyndale,0,Male,235
Lyndale,0,Other,101
Lyndale,1,Female,102
Lyndale,1,Male,346
Lyndale,1,Other,98
Lyndale,2,Female,135
Lyndale,2,Male,388
Lyndale,2,Other,111
Lyndale,3,Female,127
Lyndale,3,Male,349
Lyndale,3,Other,116
Lyndale,4,Female,155
Lyndale,4,Male,308
Lyndale,4,Other,119
Lyndale,5,Female,125
Lyndale,5,Male,337
Lyndale,5,Other,127
Lyndale,6,Female,114
Lyndale,6,Male,303
Lyndale,6,Other,105
Lynnhurst,0,Female,8
Lynnhurst,0,Male,16
Lynnhurst,0,Other,13
Lynnhurst,1,Female,36
Lynnhurst,1,Male,63
Lynnhurst,1,Other,11
Lynnhurst,2,Female,19
Lynnhurst,2,Male,29
Lynnhurst,2,Other,16
Lynnhurst,3,Female,29
Lynnhurst,3,Male,28
Lynnhurst,3,Other,22
Lynnhurst,4,Female,20
Lynnhurst,4,Male,35
Lynnhurst,4,Other,17
Lynnhurst,5,Female,11
Lynnhurst,5,Male,28
Lynnhurst,5,Other,18
Lynnhurst,6,Female,4
Lynnhurst,6,Male,16
Lynnhurst,6,Other,7
Marcy Holmes,0,Female,121
Marcy Holmes,0,Male,265
Marcy Holmes,0,Other,215
Marcy Holmes,1,Female,56
