neighborhood,responseDow,gender,genderCount
Jordan,1,Female,36
Jordan,1,Male,125
Jordan,1,Other,27
Jordan,2,Female,39
Jordan,2,Male,190
Jordan,2,Other,25
Jordan,3,Female,49
Jordan,3,Male,220
Jordan,3,Other,32
Jordan,4,Female,55
Jordan,4,Male,187
Jordan,4,Other,15
Jordan,5,Female,52
Jordan,5,Male,156
Jordan,5,Other,28
Jordan,6,Female,44
Jordan,6,Male,108
Jordan,6,Other,33
Keewaydin,0,Male,5
Keewaydin,0,Other,6
Keewaydin,1,Female,1
Keewaydin,1,Male,8
Keewaydin,1,Other,3
Keewaydin,2,Female,2
Keewaydin,2,Male,2
Keewaydin,2,Other,3
Keewaydin,3,Female,2
Keewaydin,3,Male,6
Keewaydin,3,Other,4
Keewaydin,4,Male,5
Keewaydin,4,Other,8
Keewaydin,5,Male,9
Keewaydin,5,Other,3
Keewaydin,6,Female,1
Keewaydin,6,Male,5
Keewaydin,6,Other,3
Kenny,0,Female,1
Kenny,0,Male,1
Kenny,0,Other,5
Kenny,1,Female,5
Kenny,1,Male,11
Kenny,1,Other,6
Kenny,2,Female,4
Kenny,2,Male,5
Kenny,2,Other,5
Kenny,3,Female,3
Kenny,3,Male,4
Kenny,3,Other,6
Kenny,4,Female,1
Kenny,4,Male,6
Kenny,5,Female,2
Kenny,5,Male,4
Kenny,5,Other,1
Kenny,6,Female,2
Kenny,6,Male,4
Kenny,6,Other,4
Kenwood,0,Female,2
Kenwood,0,Male,2
Kenwood,0,Other,2
Kenwood,1,Female,1
Kenwood,1,Male,2
Kenwood,1,Other,1
Kenwood,2,Female,1
Kenwood,2,Male,5
Kenwood,2,Other,3
Kenwood,3,Female,1
Kenwood,3,Male,3
Kenwood,3,Other,3
Kenwood,4,Male,3
Kenwood,5,Male,4
Kenwood,5,Other,2
Kenwood,6,Female,2
Kenwood,6,Other,2
King Field,0,Female,17
King Field,0,Male,31
King Field,0,Other,17
King Field,1,Female,39
King Field,1,Male,72
King Field,1,Other,5
King Field,2,Female,50
King Field,2,Male,81
King Field,2,Other,12
King Field,3,Female,35
King Field,3,Male,67
King Field,3,Other,9
King Field,4,Female,43
King Field,4,Male,76
King Field,4,Other,14
King Field,5,Female,27
King Field,5,Male,56
King Field,5,Other,13
King Field,6,Female,10
King Field,6,Male,31
King Field,6,Other,14
Lind - Bohanon,0,Female,6
Lind - Bohanon,0,Male,15
Lind - Bohanon,0,Other,23
Lind - Bohanon,1,Female,8
Lind - Bohanon,1,Male,19
Lind - Bohanon,1,Other,18
Lind - Bohanon,2,Female,4
Lind - Bohanon,2,Male,32
Lind - Bohanon,2,Other,13
Lind - Bohanon,3,Female,10
Lind - Bohanon,3,Male,22
Lind - Bohanon,3,Other,26
Lind - Bohanon,4,Female,5
Lind - Bohanon,4,Male,22
Lind - Bohanon,4,Other,14
Lind - Bohanon,5,Female,7
Lind - Bohanon,5,Male,34
Lind - Bohanon,5,Other,22
Lind - Bohanon,6,Female,7
Lind - Bohanon,6,Male,17
Lind - Bohanon,6,Other,14
Linden Hills,0,Female,4
Linden Hills,0,Male,10
Linden Hills,0,Other,7
Linden Hills,1,Female,14
Linden Hills,1,Male,19
Linden Hills,1,Other,7
Linden Hills,2,Female,14
Linden Hills,2,Male,21
Linden Hills,2,Other,4
Linden Hills,3,Female,4
Linden Hills,3,Male,7
Linden Hills,3,Other,4
Linden Hills,4,Female,2
Linden Hills,4,Male,8
Linden Hills,4,Other,5
Linden Hills,5,Female,7
Linden Hills,5,Male,8
Linden Hills,5,Other,11
Linden Hills,6,Female,3
Linden Hills,6,Male,13
Linden Hills,6,Other,4
Logan Park,0,Female,22
Logan Park,0,Male,21
Logan Park,0,Other,2
Logan Park,1,Female,11
Logan Park,1,Male,36
Logan Park,1,Other,2
Logan Park,2,Female,16
Logan Park,2,Male,25
Logan Park,2,Other,4
Logan Park,3,Female,11
Logan Park,3,Male,28
Logan Park,3,Other,2
Logan Park,4,Female,18
Logan Park,4,Male,45
Logan Park,4,Other,5
Logan Park,5,Female,14
Logan Park,5,Male,28
Logan Park,5,Other,4
Logan Park,6,Female,14
Logan Park,6,Male,42
Logan Park,6,Other,4
Longfellow,0,Female,16
Longfellow,0,Male,35
Longfellow,0,Other,11
Longfellow,1,Female,13
Longfellow,1,Male,37
Longfellow,1,Other,12
Longfellow,2,Female,9
Longfellow,2,Male,36
Longfellow,2,Other,11
Longfellow,3,Female,17
Longfellow,3,Male,39
Longfellow,3,Other,11
Longfellow,4,Female,10
Longfellow,4,Male,34
Longfellow,4,Other,14
Longfellow,5,Female,10
Longfellow,5,Male,59
Longfellow,5,Other,17
Longfellow,6,Female,15
Longfellow,6,Male,55
Longfellow,6,Other,11
Loring Park,0,Female,14
Loring Park,0,Male,45
Loring Park,0,Other,9
Loring Park,1,Female,14
Loring Park,1,Male,64
Loring Park,1,Other,15
Loring Park,2,Female,17
Loring Park,2,Male,71
Loring Park,2,Other,18
Loring Park,3,Female,23
Loring Park,3,Male,59
Loring Park,3,Other,9
Loring Park,4,Female,18
Loring Park,4,Male,56
Loring Park,4,Other,12
Loring Park,5,Female,26
Loring Park,5,Male,81
Loring Park,5,Other,11
Loring Park,6,Female,6
Loring Park,6,Male,43
Loring Park,6,Other,7
Lowry Hill,0,Female,2
Lowry Hill,0,Male,5
Lowry Hill,0,Other,4
Lowry Hill,1,Female,4
Lowry Hill,1,Male,19
Lowry Hill,1,Other,3
Lowry Hill,2,Female,6
Lowry Hill,2,Male,5
Lowry Hill,3,Female,5
Lowry Hill,3,Male,12
Lowry Hill,3,Other,6
Lowry Hill,4,Female,3
Lowry Hill,4,Male,5
Lowry Hill,4,Other,7
Lowry Hill,5,Female,1
Lowry Hill,5,Male,16
Lowry Hill,5,Other,2
Lowry Hill,6,Female,1
Lowry Hill,6,Male,10
Lowry Hill,6,Other,1
Lowry Hill East,0,Female,21
Lowry Hill East,0,Male,76
Lowry Hill East,0,Other,15
Lowry Hill East,1,Female,37
Lowry Hill East,1,Male,86
Lowry Hill East,1,Other,18
Lowry Hill East,2,Female,42
Lowry Hill East,2,Male,89
Lowry Hill East,2,Other,14
Lowry Hill East,3,Female,34
Lowry Hill East,3,Male,96
Lowry Hill East,3,Other,16
Lowry Hill East,4,Female,30
Lowry Hill East,4,Male,87
Lowry Hill East,4,Other,20
Lowry Hill East,5,Female,35
Lowry Hill East,5,Male,122
Lowry Hill East,5,Other,16
Lowry Hill East,6,Female,31
Lowry Hill East,6,Male,130
Lowry Hill East,6,Other,15
Lyndale,0,Female,37
Lyndale,0,Male,116
Lyndale,0,Other,11
Lyndale,1,Female,36
Lyndale,1,Male,123
Lyndale,1,Other,13
Lyndale,2,Female,44
Lyndale,2,Male,143
Lyndale,2,Other,24
Lyndale,3,Female,42
Lyndale,3,Male,109
Lyndale,3,Other,22
Lyndale,4,Female,64
Lyndale,4,Male,100
Lyndale,4,Other,15
Lyndale,5,Female,42
Lyndale,5,Male,135
Lyndale,5,Other,24
Lyndale,6,Female,30
Lyndale,6,Male,100
Lyndale,6,Other,14
Lynnhurst,0,Female,1
Lynnhurst,0,Male,7
Lynnhurst,0,Other,1
Lynnhurst,1,Female,12
Lynnhurst,1,Male,25
Lynnhurst,1,Other,3
Lynnhurst,2,Female,10
Lynnhurst,2,Male,13
Lynnhurst,2,Other,7
Lynnhurst,3,Female,13
Lynnhurst,3,Male,12
Lynnhurst,3,Other,6
Lynnhurst,4,Female,9
Lynnhurst,4,Male,13
Lynnhurst,4,Other,2
Lynnhurst,5,Female,3
Lynnhurst,5,Male,15
Lynnhurst,5,Other,3
Lynnhurst,6,Female,1
Lynnhurst,6,Male,8
Lynnhurst,6,Other,3
Marcy Holmes,0,Female,58
Marcy Holmes,0,Male,108
Marcy Holmes,0,Other,18
Marcy Holmes,1,Female,30
Marcy Holmes,1,Male,94
Marcy Holmes,1,Other,15
Marcy Holmes,2,Female,35
Marcy Holmes,2,Male,108
Marcy Holmes,2,Other,17
Marcy Holmes,3,Female,52
Marcy Holmes,3,Male,104
Marcy Holmes,3,Other,15
Marcy Holmes,4,Female,58
Marcy Holmes,4,Male,133
Marcy Holmes,4,Other,17
Marcy Holmes,5,Female,52
Marcy Holmes,5,Male,193
Marcy Holmes,5,Other,29
Marcy Holmes,6,Female,49
Marcy Holmes,6,Male,148
Marcy Holmes,6,Other,12
Marshall Terrace,0,Female,19
Marshall Terrace,0,Male,19
Marshall Terrace,0,Other,4
Marshall Terrace,1,Female,9
Marshall Terrace,1,Male,19
Marshall Terrace,1,Other,8
Marshall Terrace,2,Female,10
Marshall Terrace,2,Male,22
Marshall Terrace,2,Other,1
Marshall Terrace,3,Female,8
Marshall Terrace,3,Male,39
Marshall Terrace,3,Other,1
Marshall Terrace,4,Female,8
Marshall Terrace,4,Male,20
Marshall Terrace,4,Other,2
Marshall Terrace,5,Female,8
Marshall Terrace,5,Male,28
Marshall Terrace,5,Other,4
Marshall Terrace,6,Female,13
Marshall Terrace,6,Male,21
Marshall Terrace,6,Other,6
McKinley,0,Female,10
McKinley,0,Male,31
McKinley,0,Other,18
McKinley,1,Female,17
